available_ingredients,recipe_name,recipe_ingredients,instructions,
"Wheat, Salt, Jaggery",Wheat Halwa,"Wheat Flour, Salt, Jaggery, Ghee, Water",Roast wheat flour in ghee until aromatic. Add water and cook while stirring. Mix in jaggery and cook until thick. Serve warm garnished with nuts.,
"Wheat, Salt, Curd",Wheat Dosa,"Wheat Flour, Salt, Curd, Water, Cumin Seeds","Mix wheat flour, salt, curd, and water to form a thin batter. Add cumin seeds. Pour onto a hot greased tawa and spread into a thin circle. Cook until golden brown on both sides. Serve with chutney.",
"Wheat, Salt, Fenugreek Leaves",Methi Thepla,"Wheat Flour, Salt, Fenugreek Leaves, Turmeric, Red Chili Powder, Oil","Mix wheat flour with salt, turmeric, red chili powder, and chopped fenugreek leaves. Add water and knead to a soft dough. Roll into thin circles and cook on a tawa with oil until golden brown. Serve with pickle or curd.",
"Curd, Onion, Curry Leaves",Curd Rice,"Cooked Rice, Curd, Onion, Curry Leaves, Mustard Seeds, Green Chilies, Ginger, Salt, Oil","Cook rice and let it cool. Mix curd and salt with the rice. In a pan, heat oil, add mustard seeds, chopped onions, green chilies, ginger, and curry leaves. Sauté and pour the mixture over the curd rice. Mix well and serve.",
"Curd, Onion, Curry Leaves, Coconut, Green Chilies",Thengai Mor Curry,"Coconut, Green Chilies, Curd, Onion, Curry Leaves, Mustard Seeds, Salt","Grate fresh coconut and grind it with green chilies into a smooth paste using water. In a bowl, whisk curd until it becomes creamy. Add the coconut paste to the curd and mix well. Heat oil in a pan, add mustard seeds and let them splutter. Add curry leaves and finely chopped onions. Sauté the onions until they become translucent. Lower the flame and pour in the curd-coconut mixture. Stir continuously to prevent curdling. Simmer on low heat for about 5-10 minutes. Add salt to taste. Serve warm with steamed rice.",
"Curd, Onion, Curry Leaves, Chickpea Flour",Kadhi Pakora,"Chickpea Flour, Curd, Onion, Curry Leaves, Mustard Seeds, Green Chilies, Turmeric, Salt","Prepare a thick batter using chickpea flour, water, salt, and a pinch of turmeric. Fry spoonfuls of this batter in oil to make pakoras and set them aside. In a separate bowl, whisk curd with water, adding turmeric, salt, and chickpea flour to create a smooth mixture. Heat oil in a pan, add mustard seeds, curry leaves, green chilies, and chopped onions. Sauté until fragrant. Slowly pour the curd mixture into the pan, stirring constantly to avoid lumps. Let the kadhi cook on low flame until it thickens. Add the pakoras to the kadhi and let them soak for a few minutes. Garnish with fresh coriander leaves and serve with rice.",
"Curd, Onion, Curry Leaves, Ginger, Garlic",Ginger Garlic Curd Curry,"Ginger, Garlic, Curd, Onion, Curry Leaves, Mustard Seeds, Turmeric, Green Chilies","Finely chop the ginger and garlic. Heat oil in a pan, add mustard seeds, and let them splutter. Add curry leaves, chopped onions, ginger, and garlic. Sauté until golden and fragrant. Add turmeric and mix well. Lower the flame and slowly add whisked curd. Stir continuously to avoid curdling. Allow the curry to simmer for 5-10 minutes until it thickens. Add salt as per taste. Garnish with fresh coriander leaves and serve hot.",
"Curd, Onion, Curry Leaves, Spinach",Keerai Mor Kuzhambu,"Spinach, Curd, Onion, Curry Leaves, Mustard Seeds, Green Chilies, Coconut, Turmeric","Clean and finely chop the spinach leaves. Boil them in water until tender and set aside. Grind coconut and green chilies into a fine paste. In a bowl, whisk curd until smooth. Heat oil in a pan, add mustard seeds, and let them pop. Add curry leaves and chopped onions, sautéing until golden brown. Add the cooked spinach, followed by the coconut paste. Pour in the whisked curd and mix well. Simmer the mixture on low heat, stirring occasionally to prevent curdling. Adjust salt to taste. Serve with hot rice.",
"Curd, Onion, Curry Leaves, Eggplant",Brinjal Curd Curry,"Eggplant, Curd, Onion, Curry Leaves, Mustard Seeds, Green Chilies, Turmeric","Slice the eggplant into thin rounds and fry until golden brown. Set aside. Heat oil in a pan and add mustard seeds. Once they crackle, add curry leaves and finely chopped onions. Sauté until the onions are golden. Add slit green chilies and turmeric. Lower the flame and add whisked curd, stirring gently. Allow the curry to simmer for a few minutes. Add the fried brinjal slices and let them absorb the flavors. Adjust salt as needed. Garnish with coriander leaves. Serve hot with rice or roti.",
"Carrot, Milk, Cocoa Powder, Sugar, Ghee",Carrot Chocolate Halwa,"Carrot, Milk, Cocoa Powder, Sugar, Ghee, Cardamom Powder, Cashews, Almonds","Grate the carrots and set them aside. Heat ghee in a pan, add the grated carrots, and sauté for about 5 minutes until they soften. Pour in the milk and let it cook on medium flame, stirring occasionally, until the milk reduces and thickens. Add sugar and mix well. Add cocoa powder and stir continuously to combine. Cook for a few more minutes until the mixture leaves the sides of the pan. Sprinkle cardamom powder for aroma. Garnish with roasted cashews and almonds. Serve warm.",
"Carrot, Milk, Cocoa Powder, Sugar, Flour",Carrot Chocolate Cake,"Carrot, Milk, Cocoa Powder, Sugar, Flour, Baking Powder, Oil, Vanilla Extract","Preheat the oven to 180°C (350°F). Grease a cake tin. In a large bowl, mix grated carrots, milk, sugar, and oil. In another bowl, combine flour, cocoa powder, and baking powder. Gradually add the dry ingredients to the wet mixture. Stir well until smooth. Add vanilla extract for flavor. Pour the batter into the greased tin. Bake for 35-40 minutes until a toothpick inserted comes out clean. Let it cool before serving.",
"Carrot, Milk, Cocoa Powder, Honey",Carrot Cocoa Smoothie,"Carrot, Milk, Cocoa Powder, Honey, Ice Cubes, Cinnamon Powder (Optional)","Peel and chop the carrots. Boil or steam them until soft. Let them cool. In a blender, add the boiled carrots, milk, cocoa powder, honey, and ice cubes. Blend until smooth and creamy. Adjust the sweetness by adding more honey if needed. Optionally, sprinkle a pinch of cinnamon powder for a rich flavor. Serve chilled.",
"Carrot, Milk, Cocoa Powder, Oats",Chocolate Carrot Oats Porridge,"Carrot, Milk, Cocoa Powder, Oats, Honey, Chia Seeds (Optional)","Grate the carrots and set aside. In a pot, heat milk and bring it to a boil. Add the oats and grated carrots. Stir continuously and cook for about 10 minutes until the oats are soft. Add cocoa powder and mix well. Sweeten with honey. Optionally, sprinkle chia seeds for added texture. Serve warm for breakfast.",
"Apple, Ice Cream, Honey, Cinnamon",Apple Cinnamon Sundae,"Apple, Vanilla Ice Cream, Honey, Cinnamon Powder, Almonds (Optional)","Wash, peel, and slice the apple thinly. Heat a small pan and sauté the apple slices until slightly golden. Sprinkle cinnamon powder and drizzle honey over them. Cook for a few more minutes. Serve the warm caramelized apples over scoops of vanilla ice cream. Optionally, top with chopped almonds or nuts. Enjoy immediately.",
"Apple, Ice Cream, Honey, Milk",Apple Honey Milkshake,"Apple, Vanilla Ice Cream, Honey, Milk, Ice Cubes","Core and chop the apple into small pieces. In a blender, add the apple, milk, honey, and ice cream. Blend until smooth. Add ice cubes for a chilled texture. Adjust the sweetness with honey if needed. Pour into a glass and serve with a sprinkle of cinnamon on top.",
"Apple, Ice Cream, Honey, Cream Cheese",Apple Honey Ice Cream Sandwich,"Apple, Honey, Ice Cream, Cream Cheese, Bread","Slice the apple thinly. Toast two slices of bread. Spread cream cheese on one slice. Place apple slices on top, drizzle honey, and add a scoop of ice cream. Cover with the second slice of bread. Serve as a delicious cold sandwich.",
"Apple, Ice Cream, Honey, Oats",Apple Crumble Sundae,"Apple, Ice Cream, Honey, Oats, Butter, Brown Sugar","Preheat the oven to 180°C (350°F). Slice the apple and mix it with honey and a pinch of cinnamon. In a separate bowl, combine oats, brown sugar, and melted butter to make a crumbly mixture. Place the apple slices in a baking dish and cover with the oat mixture. Bake for 20-25 minutes until golden brown. Serve warm with ice cream on top.",
"Wheat flour, Jaggery, Ghee, Fennel seeds",Thekua,"Wheat flour, jaggery, ghee, fennel seeds, cardamom powder, water","In a large bowl, mix wheat flour, jaggery, fennel seeds, and cardamom powder. Add ghee and mix well to form a crumbly texture. Gradually add water to knead into a stiff dough. Shape into small discs using molds. Deep-fry in hot oil until golden brown. Allow them to cool and serve.",
"Rice, Chana dal, Spices, Oil",Dhuska,"Rice, chana dal, cumin seeds, green chilies, ginger, salt, oil","Soak rice and chana dal overnight. Blend into a smooth batter with cumin seeds, green chilies, and ginger. Add salt and mix well. Heat oil in a pan, pour a ladle of batter, and fry until golden on both sides. Serve with chutney or aloo curry.",
"Rugra mushrooms, Mustard seeds, Spices, Oil",Rugra Curry,"Rugra mushrooms, mustard seeds, onions, tomatoes, turmeric powder, cumin powder, oil, salt, water","Clean and boil the Rugra mushrooms. Heat oil in a pan, add mustard seeds, and sauté onions until golden. Add tomatoes, turmeric, and cumin powder, cooking until the tomatoes soften. Add boiled Rugra mushrooms and cook for 10-15 minutes. Garnish and serve with rice.",
"Wheat flour, Sattu, Mustard oil, Spices, Vegetables",Litti Chokha,"Wheat flour, sattu, mustard oil, ginger, garlic, green chilies, lemon juice, salt, eggplant, tomatoes, potatoes","Prepare the stuffing by mixing sattu with mustard oil, green chilies, ginger, garlic, lemon juice, and salt. Knead wheat flour with water to make a dough. Stuff the dough balls with sattu mixture and bake until golden. Roast eggplant, tomatoes, and potatoes, mash with mustard oil and spices to make chokha. Serve with litti.",
"Rice flour, Salt, Water, Oil",Chilka Roti,"Rice flour, salt, water, oil","Boil water and add salt. Gradually add rice flour while stirring to avoid lumps. Cook until the mixture thickens. Let it cool slightly, then knead into a smooth dough. Shape into thin rotis and cook on a tawa with oil until golden. Serve with chutney or curry.",
"Rice, Curd, Mustard seeds, Green chilies, Curry leaves",Handia,"Cooked rice, water, curd, mustard seeds, green chilies, curry leaves","Cook rice and allow it to cool completely. Add water and let it ferment for 2-3 days in a clay pot. Once fermented, strain the liquid and serve it chilled. You can season it with mustard seeds, green chilies, and curry leaves for added flavor. Handia is traditionally enjoyed as a refreshing drink.",
"Rice, Chana Dal, Spices, Ghee",Pitha,"Rice flour, chana dal, salt, turmeric powder, ginger, cumin seeds, ghee","Soak chana dal for a few hours and grind it into a coarse paste. Add turmeric powder, salt, grated ginger, and cumin seeds. Prepare rice flour dough by boiling water and mixing it with the flour to form a soft dough. Flatten small portions of the dough, fill with the chana dal mixture, and seal the edges. Steam the pithas for 20-25 minutes. Serve hot with green chutney or curry.",
"Rice, Green Vegetables, Garlic, Mustard oil, Spices",Marua Roti,"Marua (finger millet) flour, water, salt, mustard oil","Take marua flour in a bowl and add a pinch of salt. Gradually add water to form a soft, pliable dough. Divide the dough into small balls and flatten into round rotis using your hands. Heat a tawa (griddle) and cook the rotis on both sides until golden brown. Brush with mustard oil for an authentic flavor. Serve with vegetable curry or chutney.",
"Rice, Tamarind, Mustard seeds, Spices",Aloo Chokha,"Boiled potatoes, mustard oil, green chilies, salt, tamarind","Boil potatoes until tender, then peel and mash them. Heat mustard oil in a pan, add green chilies for a spicy kick, and pour it over the mashed potatoes. Mix in tamarind pulp, salt, and additional mustard oil for extra flavor. Serve as a side dish with rice and dal.",
"Rice, Lentils, Vegetables, Garlic, Mustard oil, Spices",Dubki Kadhi,"Besan (gram flour), yogurt, mustard seeds, curry leaves, garlic, turmeric, red chili powder, salt","In a bowl, mix besan with yogurt, water, and turmeric to form a smooth kadhi mixture. Make a thick paste using besan, salt, and water to create small dumplings. Fry these dumplings until golden brown. In a pot, add mustard seeds, curry leaves, and garlic to temper the kadhi. Add the kadhi mixture and bring it to a boil. Add the fried dumplings and simmer until cooked. Serve with rice.",
"Pumpkin, Mustard seeds, Spices, Mustard oil",Pumpkin Curry,"Pumpkin, mustard seeds, turmeric, cumin seeds, red chilies, mustard oil, salt","Peel and chop the pumpkin into small cubes. Heat mustard oil in a pan until it reaches a smoking point. Reduce the heat and add mustard seeds, cumin seeds, and dried red chilies. Once they splutter, add the chopped pumpkin. Season with turmeric powder and salt. Cover and cook until the pumpkin becomes tender. Mash lightly for a creamy texture. Serve with rice or roti.",
"Rice Flour, Jaggery, Coconut, Cardamom",Arsa Roti,"Rice flour, jaggery, grated coconut, cardamom powder, water, ghee",Soak rice for a few hours and grind it into a fine flour. Dissolve jaggery in water and add it to the rice flour to make a smooth batter. Mix grated coconut and cardamom powder for added flavor. Heat a pan with ghee and pour the batter to form small round discs. Cook on low heat until golden brown on both sides. Serve as a dessert or snack.,
"Rice, Black Gram (Urad Dal), Garlic, Mustard Oil, Spices",Bada,"Rice, black gram, garlic, green chilies, ginger, mustard oil, salt","Soak rice and black gram overnight. Grind into a thick batter, adding garlic, green chilies, and ginger. Heat mustard oil in a pan. Shape the batter into small discs and deep-fry until golden brown. Serve with chutney or curry.",
"Jackfruit, Mustard Seeds, Turmeric, Spices",Kathal Curry,"Raw jackfruit, mustard seeds, turmeric powder, red chili powder, mustard oil, salt","Peel and chop the jackfruit into bite-sized pieces. Boil it until slightly tender. Heat mustard oil in a pan, add mustard seeds, and let them splutter. Add the boiled jackfruit and sauté with turmeric powder, red chili powder, and salt. Cook until the jackfruit is golden brown. Serve with rice.",
"Rice, Jaggery, Coconut, Ghee ",Malpua,"Rice flour, jaggery, milk, grated coconut, fennel seeds, ghee","Prepare a smooth batter using rice flour, jaggery, milk, and grated coconut. Add fennel seeds for aroma. Heat ghee in a pan. Pour small ladles of the batter into the ghee and deep-fry until golden brown. Drain and serve as a dessert.",
"Mutton, Yogurt, Mustard Oil, Spices, Ginger, Garlic",Rogan Josh,"Mutton, mustard oil, yogurt, ginger, garlic, red chili powder, fennel powder, bay leaves, cardamom","Heat mustard oil in a pot, add bay leaves, cardamom, and ginger-garlic paste. Add mutton and cook until browned. Whisk yogurt and add to the pot along with red chili powder, fennel powder, and salt. Cook on low heat until the mutton is tender. Serve with rice.",
"Spinach, Mustard Oil, Spices, Garlic",Haak Saag,"Fresh spinach, mustard oil, dried red chilies, garlic, asafoetida, salt","Heat mustard oil in a pot. Add dried red chilies, garlic, and a pinch of asafoetida. Add spinach leaves and stir well. Cover and cook on low heat until the leaves are tender. Serve with steamed rice.",
"Mutton, Rice, Saffron, Yogurt, Milk",Yakhni Pulao,"Basmati rice, mutton, saffron, yogurt, bay leaves, cloves, cardamom, cinnamon, ghee","Boil mutton with whole spices to create a broth. Fry onions in ghee, add the mutton and yogurt. Cook for a few minutes, then add rice and saffron-infused milk. Pour in the broth and cook until the rice is fluffy. Serve with raita.",
"Paneer, Mustard Oil, Yogurt, Spices",Chaman,"Paneer, turmeric, mustard oil, milk, fennel powder, ginger powder","Fry paneer cubes until golden. In a pan, heat mustard oil and add fennel powder, ginger powder, and turmeric. Add milk and let it boil. Add the fried paneer cubes and cook until the gravy thickens. Serve hot.",
"Lamb, Rice, Yogurt, Spices",Gushtaba,"Minced lamb, yogurt, ginger, garlic, cardamom, bay leaves, fennel powder",Mix minced lamb with spices and shape into large meatballs. Cook the meatballs in a spiced yogurt sauce. Serve with rice.,
"Rice, Ghee, Sugar, Saffron, Dry Fruits",Modur Pulao,"Basmati rice, sugar, saffron, cardamom, almonds, cashews, raisins, ghee","Soak saffron in warm milk. Cook rice in ghee, then add sugar, saffron milk, and dry fruits. Cover and cook until rice is fluffy. Serve as a sweet delicacy.",
"Turnip, Spices, Mustard Oil",Gogji,"Turnips, mustard oil, dried red chilies, asafoetida, ginger powder, fennel powder","Peel and chop turnips. Heat mustard oil, add red chilies and asafoetida. Add turnips, ginger powder, and fennel powder. Cook until turnips are tender. Serve as a side dish.",
"Potatoes, Curd, Spices",Dum Aloo,"Baby potatoes, curd, ginger powder, fennel powder, cardamom, cloves, mustard oil","Boil and peel potatoes. Fry them until golden brown. Prepare a yogurt-based gravy with mustard oil, ginger powder, fennel powder, and other spices. Add the potatoes and cook on low heat until tender.",
"Lotus Stem, Mustard Oil, Spices",Nadru Monje,"Lotus stems, besan (gram flour), rice flour, carom seeds, turmeric powder, salt, mustard oil","Clean and slice the lotus stems. Make a thick batter using besan, rice flour, carom seeds, and turmeric. Dip the lotus stem slices into the batter and deep-fry in mustard oil until crispy. Serve as a snack.",
"Wheat Flour, Jaggery, Ghee",Roth,"Wheat flour, jaggery, ghee, fennel seeds, milk","Mix wheat flour, jaggery, and fennel seeds with warm milk to make a dough. Flatten the dough into round shapes. Fry in ghee until golden brown. Serve as a festive treat.",
"Mutton, Yogurt, Mustard Oil, Spices",Rista,"Minced mutton, yogurt, ginger, garlic, fennel powder, cardamom, saffron, mustard oil","Make meatballs using minced mutton, ginger, and garlic. Cook in a saffron-infused yogurt gravy with fennel powder and cardamom. Serve with rice.",
"Mutton, Rice, Spices",Wazwan,"Mutton, rice, saffron, yogurt, cardamom, cloves, ghee, ginger, garlic","Wazwan is a traditional multi-course meal. It includes dishes like Rogan Josh, Yakhni, and Rista. Prepare each dish with the finest spices and serve with saffron rice.",
"Basmati Rice, Ghee, Turmeric, Ginger, Green Chilies, Cumin, Asafoetida, Water, Salt",Gahat Ki Khichdi,"Gahat (Horse Gram) - 1 cup, Rice - 1 cup, Ghee - 2 tbsp, Turmeric - ½ tsp, Ginger - 1 inch, Green Chilies - 2, Cumin Seeds - 1 tsp, Asafoetida - a pinch, Salt - to taste, Water - 4 cups","Soak horse gram overnight. Cook the soaked horse gram in a pressure cooker until soft. In a large pot, heat ghee, add cumin, asafoetida, ginger, and green chilies. Add turmeric and stir for a few seconds. Add rice and cooked horse gram. Pour in water, add salt, and let it cook on a low flame until the rice is tender. Stir occasionally. Serve hot with ghee and yogurt.",
"Chickpea Flour, Mustard Oil, Cumin, Turmeric, Asafoetida, Salt, Coriander",Chana Gosht,"Chickpea Flour - 1 cup, Mustard Oil - 2 tbsp, Cumin Seeds - 1 tsp, Turmeric Powder - ½ tsp, Asafoetida - a pinch, Salt - to taste, Coriander - for garnish","Heat mustard oil in a pan. Add cumin seeds, asafoetida, and turmeric powder. Add chickpea flour and roast until golden brown. Add water and stir to avoid lumps. Simmer for 15-20 minutes, ensuring the gravy thickens. Garnish with coriander. This dish pairs well with rice or roti.",
"Barley Flour, Jaggery, Ghee, Water",Lesu,"Barley Flour - 1 cup, Jaggery - ½ cup, Ghee - 2 tbsp, Water - as required",Mix barley flour and water to make a dough. Divide the dough into two parts. Prepare a filling with jaggery and ghee. Stuff the filling into the dough and roll into a thick roti. Cook on a griddle with ghee until golden brown. Serve warm as a nutritious breakfast.,
"Red Rice, Buttermilk, Mustard Seeds, Curry Leaves, Green Chilies, Turmeric, Salt, Coriander",Jholi,"Red Rice - 1 cup, Buttermilk - 2 cups, Mustard Seeds - 1 tsp, Curry Leaves - 6-8, Green Chilies - 2, Turmeric Powder - ½ tsp, Salt - to taste, Coriander - for garnish","Cook rice and set aside. In a pot, heat mustard seeds and curry leaves. Add green chilies and turmeric. Pour in buttermilk and stir well. Simmer for 10 minutes, ensuring it doesn't curdle. Add cooked rice and mix. Garnish with fresh coriander and serve. Jholi is a comforting, tangy dish served with rice or roti.",
"Rice Flour, Jaggery, Ghee, Milk, Cardamom Powder, Grated Coconut",Gulgula,"Wheat Flour - 1 cup, Jaggery - ½ cup, Milk - ½ cup, Cardamom Powder - ½ tsp, Grated Coconut - 2 tbsp, Ghee - for frying","Dissolve jaggery in milk and mix with wheat flour to form a thick batter. Add cardamom powder and grated coconut. Heat ghee in a deep pan. Drop spoonfuls of batter into the ghee and fry until golden brown. Gulgulas are crispy on the outside and soft on the inside, often enjoyed as a tea-time snack.",
"Wheat Flour, Yogurt, Sugar, Cardamom Powder, Ghee",Singal,"Wheat Flour - 1 cup, Yogurt - ½ cup, Sugar - ½ cup, Cardamom Powder - ½ tsp, Ghee - for frying","Mix wheat flour, yogurt, sugar, and cardamom powder to form a thick batter. Allow it to ferment for 4-5 hours. Heat ghee in a deep pan. Pour the batter in the shape of spirals (like jalebi) and fry until golden brown. Serve warm as a delightful breakfast or festive treat.",
"Black Gram, Ghee, Cumin, Asafoetida, Ginger, Green Chilies, Turmeric, Salt, Water",Kafuli,"Spinach - 2 cups, Fenugreek Leaves - 1 cup, Ginger - 1 inch, Green Chilies - 2, Ghee - 2 tbsp, Cumin Seeds - 1 tsp, Asafoetida - a pinch, Turmeric - ½ tsp, Rice Flour - 1 tbsp, Salt - to taste, Water - 1 cup","Blanch the spinach and fenugreek leaves, then blend into a smooth paste. Heat ghee in a pan, add cumin seeds, asafoetida, ginger, and green chilies. Stir in the spinach paste. Mix rice flour with water to make a slurry and add to the spinach. Cook until the mixture thickens. Season with salt and serve with steamed rice.",
"Wheat Flour, Jaggery, Ghee, Water",Arsa ,"Wheat Flour - 1 cup, Jaggery - ½ cup, Ghee - 3 tbsp, Water - as required",Melt jaggery in water to create a syrup. Allow it to cool. Mix the syrup with wheat flour to make a smooth batter. Heat ghee in a deep pan. Pour small portions of the batter into the oil and fry until golden brown. Drain excess oil and let them cool. Arsa is a traditional sweet prepared during festivals and special occasions.,
"Pork, Bamboo Shoots, Ginger, Garlic, Turmeric, Salt, Mustard Oil, Green Chilies",Jadoh,"Pork - 500g, Rice - 2 cups, Bamboo Shoots - ½ cup, Ginger - 1 inch, Garlic - 5 cloves, Turmeric - ½ tsp, Salt - to taste, Mustard Oil - 3 tbsp, Green Chilies - 3","Wash rice and set aside. Boil pork with salt, turmeric, and water until tender. Heat mustard oil in a pan, add chopped ginger, garlic, and green chilies. Add bamboo shoots and sauté until fragrant. Mix in the rice and pork. Add water and cook until the rice is done. Stir occasionally. Serve hot with a side of fresh vegetables or pickles.",
"Rice Flour, Grated Coconut, Jaggery, Banana Leaves",Pukhlein,"Rice Flour - 2 cups, Jaggery - 1 cup, Grated Coconut - ½ cup, Banana Leaves - for steaming",Dissolve jaggery in water to create a syrup. Mix rice flour and grated coconut in a bowl. Add the jaggery syrup and knead into a dough. Shape small patties from the dough. Wrap them in banana leaves and steam for about 30 minutes. Serve warm as a sweet delicacy.,
"Pork, Fermented Soybeans (Tungrymbai), Ginger, Garlic, Turmeric, Mustard Oil, Salt, Green Chilies",Tungrymbai,"Fermented Soybeans - 1 cup, Pork - 300g, Ginger - 1 inch, Garlic - 6 cloves, Turmeric - ½ tsp, Salt - to taste, Mustard Oil - 3 tbsp, Green Chilies - 3","Heat mustard oil in a pan, add crushed garlic, ginger, and green chilies. Add turmeric and sauté until fragrant. Add pork pieces and stir-fry until browned. Add fermented soybeans and mix well. Cook on low flame, stirring occasionally, until the dish is well combined. Serve with steamed rice.",
"Rice, Pork, Mustard Greens, Ginger, Garlic, Salt, Turmeric, Mustard Oil",Doh Khleh,"Pork - 500g, Mustard Greens - 1 bunch, Rice - 1 cup, Ginger - 1 inch, Garlic - 5 cloves, Salt - to taste, Turmeric - ½ tsp, Mustard Oil - 3 tbsp","Boil the pork with turmeric and salt until cooked. Finely chop mustard greens. Heat mustard oil in a pan, add garlic and ginger. Stir in the mustard greens and cook until soft. Shred the boiled pork and mix it with the greens. Serve with rice and chutney.",
"Rice, Black Sesame Seeds, Ginger, Green Chilies, Garlic, Salt, Water",Kyat,"Rice - 1 cup, Black Sesame Seeds - 2 tbsp, Ginger - 1 inch, Garlic - 5 cloves, Green Chilies - 2, Salt - to taste, Water - 4 cups","Cook rice until soft. In a separate pan, dry roast black sesame seeds and grind into a paste. Heat water and add the sesame paste. Add chopped ginger, garlic, and green chilies. Simmer for 10 minutes. Add the cooked rice and stir well. Adjust salt and serve hot.",
"Pork, Fermented Bamboo Shoots, Ginger, Garlic, Green Chilies, Salt, Turmeric, Mustard Oil",Doh Neiiong,"Pork - 500g, Fermented Bamboo Shoots - ½ cup, Ginger - 1 inch, Garlic - 5 cloves, Green Chilies - 3, Turmeric - ½ tsp, Salt - to taste, Mustard Oil - 3 tbsp","Heat mustard oil in a pan. Add chopped garlic, ginger, and green chilies. Add turmeric and stir. Add pork and cook until browned. Add fermented bamboo shoots and mix well. Pour in water, cover, and cook on low flame until the pork is tender. Serve with steamed rice.",
"Fish, Rice Powder, Turmeric, Ginger, Garlic, Green Chilies, Salt, Mustard Oil",Nakham Bitchi,"Dry Fish - 300g, Rice Powder - 2 tbsp, Turmeric - ½ tsp, Ginger - 1 inch, Garlic - 5 cloves, Green Chilies - 3, Salt - to taste, Mustard Oil - 2 tbsp","Soak dry fish in water for 30 minutes. Boil with turmeric and salt. In a separate pan, heat mustard oil and sauté garlic, ginger, and chilies. Add the boiled fish and cook for 5 minutes. Add rice powder mixed with water to thicken the broth. Simmer for 10 more minutes. Serve hot.",
"Rice Flour, Buttermilk, Jaggery, Water, Banana Leaves",Pudoh,"Rice Flour - 2 cups, Buttermilk - 1 cup, Jaggery - ½ cup, Water - as required, Banana Leaves - for steaming",Mix rice flour with buttermilk and jaggery to form a thick batter. Pour the batter into banana leaves and fold them tightly. Steam for 20-30 minutes until firm. Serve as a traditional sweet dish during festivals.,
"Rice, Pumpkin, Sesame Seeds, Green Chilies, Salt, Water",Pumpkin with Sesame Seeds,"Pumpkin - 500g, Sesame Seeds - 3 tbsp, Green Chilies - 3, Salt - to taste, Water - 2 cups","Peel and cube the pumpkin. Boil it with water, salt, and green chilies until soft. In a separate pan, roast the sesame seeds until golden brown and grind into a paste. Mix the paste into the boiled pumpkin. Simmer for 5-10 minutes. Serve with rice.",
"Vallarai Keerai, Coconut, Mustard, Onion, Oil",Bekang,"Black Lentils - 1 cup, Fermented Bamboo Shoots - ½ cup, Ginger - 1 inch, Garlic - 5 cloves, Green Chilies - 3, Turmeric - ½ tsp, Salt - to taste, Mustard Oil - 2 tbsp","Soak black lentils overnight. Boil with turmeric and salt until soft. Heat mustard oil in a pan, add chopped garlic, ginger, and chilies. Add fermented bamboo shoots and stir. Mix in the boiled lentils and simmer for 10 minutes. Serve warm.",
"Rice, Corn, Mustard Greens, Ginger, Garlic, Salt, Mustard Oil",Kwai Pynskhem,"Rice - 1 cup, Corn - 1 cup, Mustard Greens - 1 bunch, Ginger - 1 inch, Garlic - 5 cloves, Salt - to taste, Mustard Oil - 2 tbsp","Cook rice and corn together until done. Heat mustard oil, add chopped garlic and ginger. Sauté until fragrant. Add chopped mustard greens and stir until wilted. Mix with the rice and corn. Adjust salt and serve.",
"Pork, Black Sesame Seeds, Ginger, Garlic, Green Chilies, Salt, Turmeric, Mustard Oil",Doh Syiar,"Pork - 500g, Black Sesame Seeds - 3 tbsp, Ginger - 1 inch, Garlic - 6 cloves, Green Chilies - 3, Salt - to taste, Turmeric - ½ tsp, Mustard Oil - 3 tbsp","Roast black sesame seeds and grind into a paste. Heat mustard oil, add garlic, ginger, and chilies. Fry until aromatic. Add pork and cook until browned. Add turmeric and salt. Pour water and let it simmer until pork is tender. Add sesame paste and cook for another 10 minutes. Serve with rice.",
"Sticky Rice, Banana Leaves, Grated Coconut, Jaggery, Cardamom Powder",Pusaw,"Sticky Rice - 2 cups, Banana Leaves - for wrapping, Grated Coconut - 1 cup, Jaggery - ½ cup, Cardamom Powder - ½ tsp","Soak sticky rice for 2 hours. Mix grated coconut, jaggery, and cardamom powder. Wrap small portions of the mixture with the rice in banana leaves. Steam for 30 minutes. Serve as a sweet delicacy.",
"Potatoes, Dry Fish, Fermented Bamboo Shoots, Ginger, Garlic, Green Chilies, Salt, Mustard Oil",Tit Tung,"Potatoes - 4, Dry Fish - 150g, Fermented Bamboo Shoots - ½ cup, Ginger - 1 inch, Garlic - 5 cloves, Green Chilies - 3, Salt - to taste, Mustard Oil - 3 tbsp","Boil potatoes until soft and mash them. Soak dry fish in water for 30 minutes, then fry until crispy. Heat mustard oil, add ginger, garlic, and chilies. Add fermented bamboo shoots and stir. Add mashed potatoes and dry fish, then mix well. Serve as a side dish.",
"Wild Greens, Rice, Salt, Turmeric, Mustard Oil",Jhur Sideh,"Wild Greens - 1 bunch, Rice - 1 cup, Salt - to taste, Turmeric - ½ tsp, Mustard Oil - 2 tbsp","Boil rice until done. In a pan, heat mustard oil and add turmeric. Toss in chopped wild greens and stir-fry until tender. Mix with cooked rice. Adjust salt and serve.",
